Benchmark Path,Scan Time,PIs,POs,Total Nodes,Nodes Visited,Nodes Leaking,Added Nodes,Add Runtime,Total PIs Reduced,Pre-Reduction Inputs per AG,Post-Reduction Inputs per AG,Average PIs Reduced,Final PIs,Final POs,Final Nodes Leaking
./probing_benchmarks/b14/AntiSAT/b14_BA16_gate_level_final.v.bench,9.562500,681,245,7607,45,6,6,0.031250,4,2.000000,1.333333,0.666667,681,251,0
./probing_benchmarks/b14/Full-Lock/b14_locked_40_40_gate_level_final.v.bench,41.093750,817,245,9715,126,38,38,0.171875,10,1.578947,1.315789,0.263158,817,283,0
./probing_benchmarks/b14/SFLL/b14_SFLL_277_gate_level_final.v.benchfix,5.281250,554,245,7742,24,3,3,0.031250,0,2.000000,2.000000,0.000000,554,248,0
./probing_benchmarks/b14/SLL/b14_SLL.bench,6.546875,533,245,7395,49,29,29,1.718750,28,11.862069,10.896552,0.965517,533,274,0
./probing_benchmarks/c1908/AntiSAT/c1908_BA16.bench,0.593750,111,25,803,27,0,0,0.000000,0,0.000000,0.000000,0.000000,111,25,0
./probing_benchmarks/c1908/Full-Lock/c1908_locked_32_32_gate_level_final.v.bench,6.140625,417,25,2501,92,34,34,0.171875,15,1.882353,1.441176,0.441176,417,59,0
./probing_benchmarks/c1908/SFLL/c1908_33_gate_level_final.v.bench,0.359375,66,25,1029,2,0,0,0.000000,0,0.000000,0.000000,0.000000,66,25,0
./probing_benchmarks/c1908/SLL/c1908_SLL.bench,0.687500,121,25,654,47,6,6,0.046875,5,2.333333,1.500000,0.833333,121,31,0
./probing_benchmarks/c5315/AntiSAT/c5315_BA16_gate_level_final.v.bench,1.281250,334,123,2401,79,19,19,0.109375,19,2.000000,1.000000,1.000000,334,142,0
./probing_benchmarks/c5315/Full-Lock/c5315_locked_40_40_gate_level_final.v.bench,13.046875,718,123,5129,168,15,15,0.078125,3,1.866667,1.666667,0.200000,718,138,0
./probing_benchmarks/c5315/SFLL/c5315_SFLL_178_gate_level_final.v.bench,0.484375,356,123,810,31,0,0,0.000000,0,0.000000,0.000000,0.000000,356,123,0
./probing_benchmarks/c5315/SLL/c5315_SLL.bench,4.000000,409,123,2975,381,243,243,2.500000,261,2.835391,1.761317,1.074074,409,366,0
./probing_benchmarks/des/AntiSAT/des_BA16_gate_level_final.v.bench,2.046875,624,245,5734,0,0,0,0.000000,0,0.000000,0.000000,0.000000,624,245,0
./probing_benchmarks/des/Full-Lock/des_locked_40_40_gate_level_final.v.bench,13.437500,796,245,7794,128,86,86,5.390625,151,9.267442,7.511628,1.755814,796,331,0
./probing_benchmarks/des/SFLL/des_SFLL_256_gate_level_final.v.benchfix,1.906250,512,245,5813,8,0,0,0.000000,0,0.000000,0.000000,0.000000,512,245,0
./probing_benchmarks/des/SLL/des_SLL.bench,15.734375,512,245,6341,1152,982,982,44.640625,1689,6.916497,5.196538,1.719959,512,1227,0
